date,length,pos,neg
2017-09-03,515,0.1611980582524271,0.02517864077669904
2017-09-04,509,0.10142239685658161,0.054298624754420446
2017-09-05,515,0.11664466019417478,0.04212815533980584
2017-09-06,518,0.1463359073359074,0.04696911196911198
2017-09-07,510,0.12117254901960797,0.041405882352941174
2017-09-08,515,0.10646019417475741,0.025827184466019417
2017-09-09,510,0.1096078431372549,0.04761176470588235
2017-09-10,518,0.13266023166023175,0.0502760617760618
2017-09-11,513,0.09209941520467839,0.06991033138401559
2017-09-12,510,0.11995686274509806,0.0659450980392157
2017-09-13,511,0.10212915851272013,0.08593346379647755
2017-09-14,517,0.13026112185686656,0.04925725338491296
2017-09-15,511,0.12212720156555769,0.07573581213307241
2017-09-16,507,0.11048126232741622,0.07369230769230767
2017-09-17,508,0.11015551181102372,0.05968897637795276
2017-09-18,511,0.11388258317025451,0.06018003913894325
2017-09-19,510,0.10397843137254903,0.060105882352941155
2017-09-20,514,0.11982879377431917,0.06594163424124508
2017-09-21,517,0.1247176015473889,0.14156092843326884
2017-09-22,516,0.11930232558139539,0.056899224806201534
2017-09-23,506,0.15532608695652164,0.04108695652173912
2017-09-24,513,0.13144444444444442,0.049842105263157875
2017-09-25,516,0.2221162790697671,0.04360852713178295
2017-09-26,518,0.12736293436293444,0.04327799227799229
2017-09-27,510,0.10218039215686281,0.050123529411764726
2017-09-28,517,0.12463636363636368,0.04955125725338492
2017-09-29,519,0.11970712909441246,0.0689826589595376
2017-09-30,508,0.11336417322834645,0.03764960629921262
2017-10-01,514,0.12640077821011686,0.05018677042801556
2017-10-02,500,0.10476000000000003,0.04772399999999998
2017-10-03,508,0.12894094488188979,0.027874015748031493
2017-10-04,506,0.12345256916996047,0.06706324110671932
2017-10-05,502,0.12444422310756974,0.05452589641434265
2017-10-06,516,0.17991666666666636,0.06091472868217058
2017-10-07,514,0.13051556420233465,0.04114591439688717
2017-10-08,517,0.1225396518375242,0.035858800773694396
2017-10-09,507,0.10228402366863908,0.039037475345167674
2017-10-10,509,0.10224361493123775,0.12536935166994106
2017-10-11,514,0.12200389105058368,0.040052529182879375
2017-10-12,514,0.09071011673151753,0.03739883268482489
2017-10-13,509,0.11619646365422408,0.038878192534381115
2017-10-14,510,0.1092764705882353,0.06845490196078435
2017-10-15,504,0.12421230158730162,0.045900793650793636
2017-10-16,519,0.1289633911368016,0.04903853564547206
2017-10-17,506,0.11836561264822139,0.07104545454545452
2017-10-18,501,0.14182834331337332,0.05602994011976046
2017-10-19,511,0.10888454011741683,0.03692759295499022
2017-10-20,505,0.13140990099009894,0.04847722772277226
2017-10-21,509,0.12630255402750495,0.09834577603143424
2017-10-22,502,0.12445617529880489,0.03697011952191235
2017-10-23,515,0.1224699029126214,0.03223689320388349
2017-10-24,513,0.13197076023391818,0.05641130604288499
2017-10-25,503,0.11570775347912525,0.07537176938369775
2017-10-26,516,0.12801937984496128,0.05568023255813956
2017-10-27,500,0.11915400000000007,0.06276
2017-10-28,519,0.13736801541425833,0.04653949903660887
2017-10-29,518,0.15057335907335914,0.030146718146718147
2017-10-30,504,0.11009722222222221,0.042065476190476195
2017-10-31,506,0.1213339920948616,0.04991501976284584
2017-11-01,500,0.06549999999999996,0.03162399999999998
2017-11-02,500,0.1232400000000001,0.04331400000000001
2017-11-03,518,0.13122393822393816,0.051729729729729744
2017-11-04,513,0.12525536062378168,0.035693957115009736
2017-11-05,514,0.1323054474708171,0.03713618677042802
2017-11-06,508,0.12978149606299214,0.032919291338582665
2017-11-07,516,0.1197325581395349,0.042284883720930234
2017-11-08,503,0.12310735586481127,0.0636918489065606
2017-11-09,502,0.10440637450199204,0.0653207171314741
2017-11-10,508,0.11017519685039358,0.03613385826771655
2017-11-11,500,0.14682399999999998,0.06896599999999997
2017-11-12,503,0.1494095427435388,0.10739165009940364
2017-11-13,500,0.13319399999999992,0.06272
2017-11-14,514,0.1181750972762646,0.09099221789883273
2017-11-15,516,0.14193604651162792,0.04654844961240311
2017-11-16,512,0.129892578125,0.04805273437500002
